seq,timestamp_ms,tof_distance_mm,tof_signal_rate,tof_range_status,us_distance_mm,encoder_distance_mm,encoder_speed_mms,sensor_disagree,tof_meas_rate,gt_distance_mm,scenario_id,fixed_estimate_mm,fixed_residual,fixed_residual_var,fixed_residual_mean,fixed_kalman_gain,fixed_innovation_cov,cm_estimate_mm,cm_residual,cm_residual_var,cm_residual_mean,cm_kalman_gain,cm_innovation_cov,cm_R,tinyml_estimate_mm,tinyml_R,tinyml_infer_us
0,7,524,3.578,0,0.000,0.000,0.000,524.000,1.000,0.000,1,524.000,0.000,0.000,0.000,0.000000,0.000,524.000,0.000,0.000,0.000,0.000000,0.000,24.000,524.000,24.000,0
1,27,524,3.578,0,488.260,0.000,0.000,35.740,1.000,0.000,1,524.000,0.000,0.000,0.000,0.510204,49.000,524.000,0.000,0.000,0.000,0.510204,49.000,24.000,524.000,3.196,35
2,47,519,3.586,0,488.260,0.000,0.000,30.740,1.000,0.000,1,522.222,-5.000,0.000,0.000,0.355616,37.245,522.222,-5.000,0.000,0.000,0.355616,37.245,24.000,521.273,3.196,35
3,65,527,3.617,0,488.432,0.000,0.000,38.568,1.000,0.000,1,523.580,4.778,0.000,0.000,0.284325,33.535,523.580,4.778,0.000,0.000,0.284325,33.535,24.000,524.141,2.735,35
4,85,511,3.469,0,488.432,0.000,0.000,22.568,1.000,0.000,1,520.488,-12.580,0.000,0.000,0.245848,31.824,520.488,-12.580,0.000,0.000,0.245848,31.824,24.000,519.323,4.093,35
5,105,525,3.555,0,488.432,0.000,0.000,36.568,1.000,0.000,1,521.495,4.512,0.000,0.000,0.223310,30.900,521.495,4.512,0.000,0.000,0.223310,30.900,24.000,521.675,3.534,35
6,125,519,3.516,0,488.603,0.000,0.000,30.397,1.000,0.000,1,520.973,-2.495,0.000,0.000,0.209471,30.359,520.973,-2.495,0.000,0.000,0.209471,30.359,24.000,520.608,3.714,35
7,145,517,3.695,0,488.603,0.000,0.000,28.397,1.000,0.000,1,520.175,-3.973,0.000,0.000,0.200728,30.027,520.175,-3.973,0.000,0.000,0.200728,30.027,24.000,518.986,3.037,35
8,165,519,3.672,0,488.603,0.000,0.000,30.397,1.000,0.000,1,519.946,-1.175,0.000,0.000,0.195103,29.817,519.946,-1.175,0.000,0.000,0.195103,29.817,24.000,518.992,3.037,35
9,185,523,3.633,0,488.603,0.000,0.000,34.397,1.000,0.000,1,520.531,3.054,0.000,0.000,0.191442,29.682,520.531,3.054,0.000,0.000,0.191442,29.682,24.000,520.682,3.196,35
10,207,518,3.562,0,488.603,0.000,0.000,29.397,1.000,0.000,1,520.282,-2.808,0.000,0.000,0.187460,29.537,520.282,-2.808,0.000,0.000,0.187460,29.537,24.000,519.829,3.196,35
11,227,523,3.680,0,488.432,0.000,0.000,34.568,1.000,0.000,1,520.789,2.718,0.000,0.000,0.186414,29.499,520.789,2.718,0.000,0.000,0.186414,29.499,24.000,521.180,3.196,35
12,247,523,3.508,0,488.432,0.000,0.000,34.568,1.000,0.000,1,521.199,2.211,0.000,0.000,0.185721,29.474,521.199,2.211,0.000,0.000,0.185721,29.474,24.000,521.909,3.534,35
