seq,timestamp_ms,tof_distance_mm,tof_signal_rate,tof_range_status,us_distance_mm,encoder_distance_mm,encoder_speed_mms,sensor_disagree,tof_meas_rate,gt_distance_mm,scenario_id,fixed_estimate_mm,fixed_residual,fixed_residual_var,fixed_residual_mean,fixed_kalman_gain,fixed_innovation_cov,cm_estimate_mm,cm_residual,cm_residual_var,cm_residual_mean,cm_kalman_gain,cm_innovation_cov,cm_R,tinyml_estimate_mm,tinyml_R,tinyml_infer_us
0,7,549,1.633,0,0.000,0.000,0.000,549.000,1.000,0.000,2,549.000,0.000,0.000,0.000,0.000000,0.000,549.000,0.000,0.000,0.000,0.000000,0.000,24.000,549.000,24.000,0
1,25,558,1.609,0,498.722,0.000,0.000,59.278,1.000,0.000,2,553.592,9.000,0.000,0.000,0.510204,49.000,553.592,9.000,0.000,0.000,0.510204,49.000,24.000,556.885,3.534,35
3,65,568,1.688,0,498.551,0.000,0.000,69.449,1.000,0.000,2,557.792,14.263,0.000,0.000,0.284325,33.535,557.792,14.263,0.000,0.000,0.284325,33.535,24.000,561.102,3.714,35
4,85,546,1.562,0,498.551,0.000,0.000,47.449,1.000,0.000,2,554.893,-11.792,0.000,0.000,0.245848,31.824,554.893,-11.792,0.000,0.000,0.245848,31.824,24.000,555.804,4.948,35
5,107,536,1.570,0,498.551,0.000,0.000,37.449,1.000,0.000,2,549.895,-17.577,0.000,0.000,0.209471,30.359,549.895,-17.577,0.000,0.000,0.209471,30.359,24.000,545.377,3.196,35
6,127,550,1.492,0,498.551,0.000,0.000,51.449,1.000,0.000,2,549.916,0.105,0.000,0.000,0.200728,30.027,549.916,0.105,0.000,0.000,0.200728,30.027,24.000,547.199,3.714,35
7,147,549,1.633,0,498.551,0.000,0.000,50.449,1.000,0.000,2,549.737,-0.916,0.000,0.000,0.195103,29.817,549.737,-0.916,0.000,0.000,0.195103,29.817,24.000,547.917,3.714,35
8,165,543,1.578,0,498.722,0.000,0.000,44.278,1.000,0.000,2,548.448,-6.737,0.000,0.000,0.191442,29.682,548.448,-6.737,0.000,0.000,0.191442,29.682,24.000,545.948,3.714,35
9,185,543,1.430,0,498.722,0.000,0.000,44.278,1.000,0.000,2,547.418,-5.448,0.000,0.000,0.189041,29.595,547.418,-5.448,0.000,0.000,0.189041,29.595,24.000,544.730,3.534,35
10,205,553,1.453,0,498.722,0.000,0.000,54.278,1.000,0.000,2,548.464,5.582,0.000,0.000,0.187460,29.537,548.464,5.582,0.000,0.000,0.187460,29.537,24.000,548.431,3.037,35
11,225,548,1.453,0,498.722,0.000,0.000,49.278,1.000,0.000,2,548.378,-0.464,0.000,0.000,0.186414,29.499,548.378,-0.464,0.000,0.000,0.186414,29.499,24.000,548.274,4.093,35
12,245,542,1.492,0,498.722,0.000,0.000,43.278,1.000,0.000,2,547.193,-6.378,0.000,0.000,0.185721,29.474,547.193,-6.378,0.000,0.000,0.185721,29.474,24.000,545.522,3.196,35
13,265,543,1.320,0,502.838,0.000,0.000,40.162,1.000,0.000,2,546.416,-4.193,0.000,0.000,0.185262,29.457,546.416,-4.193,0.000,0.000,0.185262,29.457,24.000,544.502,3.534,35
14,285,533,1.266,0,502.838,0.081,1.799,30.162,1.000,0.000,2,543.913,-13.389,0.000,0.000,0.184956,29.446,543.913,-13.389,0.000,0.000,0.184956,29.446,24.000,539.374,3.037,35
15,305,566,1.648,0,502.838,0.216,4.048,63.162,1.000,0.000,2,547.928,22.168,0.000,0.000,0.184754,29.439,547.928,22.168,0.000,0.000,0.184754,29.439,24.000,549.958,3.534,35
