seq,timestamp_ms,tof_distance_mm,tof_signal_rate,tof_range_status,us_distance_mm,encoder_distance_mm,encoder_speed_mms,sensor_disagree,tof_meas_rate,gt_distance_mm,scenario_id,fixed_estimate_mm,fixed_residual,fixed_residual_var,fixed_residual_mean,fixed_kalman_gain,fixed_innovation_cov,cm_estimate_mm,cm_residual,cm_residual_var,cm_residual_mean,cm_kalman_gain,cm_innovation_cov,cm_R,tinyml_estimate_mm,tinyml_R,tinyml_infer_us
0,7,451,0.828,0,0.000,0.000,0.000,451.000,1.000,0.000,2,451.000,0.000,0.000,0.000,0.000000,0.000,451.000,0.000,0.000,0.000,0.000000,0.000,24.000,451.000,24.000,0
1,25,486,0.742,0,494.434,0.000,0.000,8.434,1.000,0.000,2,468.857,35.000,0.000,0.000,0.510204,49.000,468.857,35.000,0.000,0.000,0.510204,49.000,24.000,481.473,3.714,35
2,45,450,0.859,0,494.434,0.000,0.000,44.434,1.000,0.000,2,462.151,-18.857,0.000,0.000,0.355616,37.245,462.151,-18.857,0.000,0.000,0.355616,37.245,24.000,475.287,17.303,35
3,65,471,0.711,0,498.551,0.000,0.000,27.551,1.000,0.000,2,464.667,8.849,0.000,0.000,0.284325,33.535,464.667,8.849,0.000,0.000,0.284325,33.535,24.000,473.269,4.948,35
4,85,451,0.734,0,498.551,0.000,0.000,47.551,1.000,0.000,2,461.307,-13.667,0.000,0.000,0.245848,31.824,461.307,-13.667,0.000,0.000,0.245848,31.824,24.000,463.281,4.093,35
5,105,469,0.844,0,498.551,0.000,0.000,29.551,1.000,0.000,2,463.025,7.693,0.000,0.000,0.223310,30.900,463.025,7.693,0.000,0.000,0.223310,30.900,24.000,465.827,3.534,35
6,127,472,0.758,0,488.603,0.000,0.000,16.603,1.000,0.000,2,464.488,9.399,0.000,0.000,0.200728,30.027,464.488,9.399,0.000,0.000,0.200728,30.027,24.000,467.071,4.093,35
7,147,474,0.812,0,488.603,0.000,0.000,14.603,1.000,0.000,2,466.343,9.512,0.000,0.000,0.195103,29.817,466.343,9.512,0.000,0.000,0.195103,29.817,24.000,469.831,3.900,35
8,167,477,0.828,0,498.551,0.000,0.000,21.551,1.000,0.000,2,468.384,10.657,0.000,0.000,0.191442,29.682,468.384,10.657,0.000,0.000,0.191442,29.682,24.000,473.106,3.037,35
9,185,447,0.805,0,498.551,0.000,0.000,51.551,1.000,0.000,2,464.341,-21.384,0.000,0.000,0.189041,29.595,464.341,-21.384,0.000,0.000,0.189041,29.595,24.000,464.610,4.948,35
10,205,467,0.844,0,498.551,0.000,0.000,31.551,1.000,0.000,2,464.840,2.659,0.000,0.000,0.187460,29.537,464.840,2.659,0.000,0.000,0.187460,29.537,24.000,465.461,4.722,35
11,225,449,0.859,0,498.551,0.000,0.000,49.551,1.000,0.000,2,461.887,-15.840,0.000,0.000,0.186414,29.499,461.887,-15.840,0.000,0.000,0.186414,29.499,24.000,458.946,4.093,35
12,245,474,0.766,0,498.551,0.000,0.000,24.551,1.000,0.000,2,464.137,12.113,0.000,0.000,0.185721,29.474,464.137,12.113,0.000,0.000,0.185721,29.474,24.000,464.821,4.093,35
13,265,494,0.797,0,488.603,0.000,0.000,5.397,1.000,0.000,2,469.669,29.863,0.000,0.000,0.185262,29.457,469.669,29.863,0.000,0.000,0.185262,29.457,24.000,472.885,6.802,35
14,285,466,0.773,0,488.603,0.000,0.000,22.603,1.000,0.000,2,468.990,-3.669,0.000,0.000,0.184956,29.446,468.990,-3.669,0.000,0.000,0.184956,29.446,24.000,471.868,16.607,35
15,305,457,0.773,0,488.603,0.000,0.000,31.603,1.000,0.000,2,466.775,-11.990,0.000,0.000,0.184754,29.439,466.775,-11.990,0.000,0.000,0.184754,29.439,24.000,463.956,3.037,35
16,327,489,0.875,0,498.551,0.000,0.000,9.551,1.000,0.000,2,472.115,20.706,0.000,0.000,0.184529,29.431,472.115,20.706,0.000,0.000,0.184529,29.431,24.000,476.052,4.295,35
17,347,454,0.883,0,498.551,0.000,0.000,44.551,1.000,0.000,2,468.773,-18.115,0.000,0.000,0.184470,29.429,468.773,-18.115,0.000,0.000,0.184470,29.429,24.000,470.828,8.470,35
18,367,465,0.820,0,488.432,0.000,0.000,23.432,1.000,0.000,2,468.077,-3.773,242.414,2.268,0.184430,29.427,468.690,-3.773,242.414,2.268,0.021923,247.557,242.130,468.360,4.093,35
19,385,456,0.844,0,488.432,0.000,0.000,32.432,1.000,0.000,2,465.850,-12.077,193.592,-0.086,0.184404,29.426,468.278,-12.690,194.346,-0.117,0.032457,194.359,188.051,468.160,165.740,35
20,405,477,0.797,0,488.432,0.000,0.000,11.432,1.000,0.000,2,467.906,11.150,180.036,1.414,0.184386,29.426,468.622,8.722,178.790,1.262,0.039380,180.383,173.279,468.431,116.635,35
21,425,445,0.820,0,488.432,0.000,0.000,43.432,1.000,0.000,2,463.683,-22.906,204.325,-0.173,0.184374,29.425,467.718,-23.622,204.237,-0.361,0.038283,204.367,196.544,467.670,136.364,35
22,445,480,0.805,0,488.432,0.000,0.000,8.432,1.000,0.000,2,466.691,16.317,206.571,1.326,0.184367,29.425,468.234,12.282,201.694,0.936,0.042081,202.571,194.047,468.261,107.861,35
23,465,441,0.859,0,488.603,0.000,0.000,47.603,1.000,0.000,2,461.955,-25.691,238.253,-0.343,0.184361,29.425,467.180,-27.234,236.041,-0.810,0.038723,236.697,227.532,467.245,159.401,35
24,485,439,0.789,0,488.603,0.000,0.000,49.603,1.000,0.000,2,457.723,-22.955,262.580,-1.390,0.184358,29.425,466.179,-28.180,271.712,-2.118,0.035520,276.197,266.387,465.717,121.284,35
26,525,453,0.852,0,488.603,0.000,0.000,35.603,1.000,0.000,2,458.698,-6.986,261.258,-2.071,0.184354,29.425,465.793,-13.326,264.342,-3.539,0.039949,276.864,265.804,465.306,153.303,35
27,547,474,0.867,0,488.603,0.000,0.000,14.603,1.000,0.000,2,463.068,13.403,251.172,-0.349,0.184353,29.424,466.318,8.070,246.147,-2.439,0.048085,252.094,239.972,466.118,126.117,35
28,567,456,0.836,0,488.603,0.000,0.000,32.603,1.000,0.000,2,461.765,-7.068,252.740,-0.836,0.184352,29.424,465.815,-10.318,247.532,-3.087,0.048778,257.064,244.525,465.432,131.141,35
29,587,452,0.781,0,488.603,0.000,0.000,36.603,1.000,0.000,2,459.965,-9.765,245.379,-0.532,0.184352,29.424,465.112,-13.815,245.145,-2.986,0.050883,254.062,241.134,464.489,131.141,35
30,605,458,0.805,0,488.603,0.000,0.000,30.603,1.000,0.000,2,459.603,-1.965,236.991,-1.236,0.184352,29.424,464.733,-7.112,233.672,-3.947,0.053237,249.254,235.985,463.986,121.284,35
31,625,453,0.766,0,484.659,0.000,0.000,31.659,1.000,0.000,2,458.385,-6.603,186.748,-3.059,0.184351,29.424,463.981,-11.733,175.219,-6.027,0.064114,211.547,197.984,463.178,131.141,35
32,645,486,0.891,0,484.659,0.000,0.000,1.341,1.000,0.000,2,463.476,27.615,231.327,-1.495,0.184351,29.424,465.264,22.019,212.620,-4.743,0.058242,235.115,221.421,465.539,92.226,35
33,665,465,0.875,0,484.487,0.000,0.000,19.487,1.000,0.000,2,463.757,1.524,225.818,-0.819,0.184351,29.424,465.248,-0.264,210.653,-4.157,0.060966,227.930,214.034,465.499,131.141,35
34,685,461,0.812,0,484.487,0.000,0.000,23.487,1.000,0.000,2,463.249,-2.757,221.615,-1.368,0.184351,29.424,464.983,-4.248,202.600,-4.780,0.062315,225.450,211.401,465.076,103.722,35
35,705,459,0.781,0,484.487,0.000,0.000,25.487,1.000,0.000,2,462.466,-4.249,196.108,-2.616,0.184351,29.424,464.571,-5.983,168.413,-6.115,0.068869,205.802,191.628,464.616,131.141,35
36,725,463,0.828,0,484.487,0.000,0.000,21.487,1.000,0.000,2,462.564,0.534,183.725,-1.684,0.184351,29.424,464.453,-1.571,161.561,-5.287,0.074912,189.518,175.321,464.501,141.793,35
37,745,458,0.766,0,484.487,0.000,0.000,26.487,1.000,0.000,2,461.723,-4.564,183.920,-1.723,0.184351,29.424,463.975,-6.453,161.497,-5.421,0.074042,190.889,176.755,463.991,131.141,35
38,767,469,0.805,0,484.487,0.000,0.000,15.487,1.000,0.000,2,464.008,6.120,176.106,-1.057,0.184351,29.424,464.649,4.716,158.050,-4.786,0.077404,180.955,166.948,464.760,112.163,35
39,787,471,0.797,0,484.487,0.000,0.000,13.487,1.000,0.000,2,465.297,6.992,153.242,0.438,0.184351,29.424,465.219,6.351,144.266,-3.287,0.089781,155.072,141.150,465.330,112.163,35
40,807,474,0.805,0,484.487,0.108,5.397,10.487,1.000,0.000,2,466.813,8.811,143.998,0.063,0.184351,29.424,465.914,8.889,139.529,-3.457,0.090260,151.480,137.807,466.210,88.681,35
41,825,465,0.820,0,488.603,0.270,7.196,23.603,1.000,0.000,2,466.391,-1.706,109.554,1.262,0.184351,29.424,465.711,-0.806,109.866,-2.136,0.117441,114.426,100.988,465.977,85.272,35
42,845,455,0.805,0,488.603,0.486,10.794,33.603,1.000,0.000,2,464.115,-11.175,87.619,1.851,0.184351,29.424,463.813,-10.495,78.663,-1.251,0.160294,80.229,67.369,464.332,70.072,35
46,925,474,0.773,0,488.432,2.537,30.583,14.432,1.000,0.000,2,464.913,11.141,93.533,1.049,0.184351,29.424,464.318,10.883,93.385,-0.611,0.110348,93.758,83.412,464.661,55.325,35
47,945,466,0.805,0,488.432,3.346,36.430,22.432,1.000,0.000,2,464.519,1.816,90.070,1.493,0.184351,29.424,463.866,2.411,88.724,0.026,0.115011,88.725,78.521,464.160,70.072,35
48,967,466,0.805,0,484.487,4.264,44.975,18.487,1.000,0.000,2,465.712,0.353,89.679,2.813,0.184351,29.424,464.240,1.983,84.369,1.920,0.112629,88.055,78.137,464.721,78.836,35
49,987,467,0.766,0,484.487,5.316,52.621,17.487,1.000,0.000,2,465.091,2.340,85.057,3.261,0.184351,29.424,463.644,3.813,74.624,2.697,0.119668,81.898,72.098,464.065,64.771,35
50,1007,444,0.828,0,484.487,6.476,58.018,40.487,1.000,0.000,2,460.257,-19.931,76.643,0.883,0.184351,29.424,460.102,-18.483,74.287,0.672,0.128819,74.738,65.111,460.666,64.771,35
51,1025,440,0.797,0,474.197,7.745,62.965,34.197,1.000,0.000,2,455.752,-19.312,95.930,-0.158,0.184351,29.424,457.226,-19.158,93.012,-0.273,0.100848,93.086,83.699,456.559,45.401,35
52,1045,475,0.867,0,474.197,9.121,67.463,0.803,1.000,0.000,2,458.200,20.597,115.769,1.009,0.184351,29.424,457.511,19.123,109.667,0.896,0.085461,110.469,101.028,457.533,62.270,35
53,1065,428,0.898,0,476.427,10.686,75.558,48.427,1.000,0.000,2,451.400,-28.689,156.992,-0.213,0.184351,29.424,454.176,-28.000,147.837,-0.205,0.065148,147.879,138.245,453.350,78.836,35
54,1085,444,0.875,0,476.427,12.386,82.754,32.427,1.000,0.000,2,449.023,-6.159,158.619,-0.547,0.184351,29.424,452.345,-8.934,151.418,-0.573,0.065941,151.746,141.740,451.290,75.801,35
55,1105,443,0.867,0,476.427,14.221,87.701,33.427,1.000,0.000,2,446.482,-4.269,158.505,-0.533,0.184351,29.424,450.076,-7.591,152.149,-0.630,0.067826,152.546,142.199,448.955,88.681,35
56,1125,425,0.836,0,468.366,16.191,95.797,43.366,1.000,0.000,2,440.959,-19.566,172.631,-1.825,0.184351,29.424,446.780,-23.160,174.598,-1.989,0.059616,178.556,167.911,445.102,92.226,35
57,1145,436,0.930,0,468.366,18.323,100.744,32.366,1.000,0.000,2,438.812,-3.448,169.377,-2.303,0.184351,29.424,444.707,-9.268,174.511,-2.689,0.060582,181.739,170.729,442.909,92.226,35
58,1165,465,0.984,0,445.900,20.563,107.940,19.100,1.000,0.000,2,441.879,28.346,210.887,-1.235,0.184351,29.424,443.791,22.452,201.379,-1.883,0.055352,204.927,193.583,443.131,85.272,35
59,1187,443,0.875,0,445.900,22.937,120.533,2.900,1.000,0.000,2,440.775,2.727,217.104,-0.785,0.184351,29.424,440.517,2.636,205.373,-1.582,0.057987,207.876,195.822,440.126,107.861,35
60,1207,420,0.992,0,445.900,25.447,125.480,25.900,1.000,0.000,2,434.898,-18.266,226.859,-1.140,0.184351,29.424,436.989,-18.007,214.749,-1.958,0.056524,218.581,206.226,436.130,107.861,35
63,1265,430,0.977,0,433.723,33.677,141.671,3.723,1.000,0.000,2,424.381,6.889,218.240,-2.049,0.184351,29.424,427.993,2.136,206.572,-3.480,0.060443,218.684,205.466,426.585,116.635,35
64,1285,413,1.000,0,433.723,36.673,148.418,20.723,1.000,0.000,2,419.862,-8.413,210.611,-3.026,0.184351,29.424,424.291,-12.025,198.595,-4.626,0.060998,219.991,206.572,422.642,103.722,35
65,1305,434,1.078,0,433.723,39.776,152.915,0.277,1.000,0.000,2,420.597,16.432,227.836,-2.295,0.184351,29.424,422.717,12.002,209.714,-4.146,0.059939,226.903,213.303,421.746,92.226,35
66,1325,424,1.039,0,431.322,42.987,157.862,7.322,1.000,0.000,2,418.649,6.560,217.807,-2.683,0.184351,29.424,419.842,4.440,194.851,-4.673,0.063619,216.684,202.899,419.066,107.861,35
67,1345,427,1.039,0,431.322,46.279,161.910,4.322,1.000,0.000,2,417.548,11.589,227.215,-2.122,0.184351,29.424,417.256,10.396,203.812,-4.252,0.062680,221.891,207.983,416.786,112.163,35
68,1365,405,0.969,0,407.999,49.652,167.307,2.999,1.000,0.000,2,413.187,-10.038,228.970,-2.740,0.184351,29.424,414.141,-9.746,201.610,-4.930,0.062132,225.913,211.877,413.474,112.163,35
69,1385,404,1.070,0,407.999,53.106,170.006,3.999,1.000,0.000,2,408.720,-5.787,214.159,-2.033,0.184351,29.424,410.288,-6.740,192.244,-4.343,0.067097,211.103,196.939,409.526,107.861,35
