seq,timestamp_ms,tof_distance_mm,tof_signal_rate,tof_range_status,us_distance_mm,encoder_distance_mm,encoder_speed_mms,sensor_disagree,tof_meas_rate,gt_distance_mm,scenario_id,fixed_estimate_mm,fixed_residual,fixed_residual_var,fixed_residual_mean,fixed_kalman_gain,fixed_innovation_cov,cm_estimate_mm,cm_residual,cm_residual_var,cm_residual_mean,cm_kalman_gain,cm_innovation_cov,cm_R,tinyml_estimate_mm,tinyml_R,tinyml_infer_us
0,7,516,3.695,0,0.000,0.000,0.000,516.000,1.000,0.000,2,516.000,0.000,0.000,0.000,0.000000,0.000,516.000,0.000,0.000,0.000,0.000000,0.000,24.000,516.000,24.000,0
1,25,515,3.797,0,488.260,0.000,0.000,26.740,1.000,0.000,2,515.490,-1.000,0.000,0.000,0.510204,49.000,515.490,-1.000,0.000,0.000,0.510204,49.000,24.000,515.113,3.196,35
2,45,515,3.750,0,488.260,0.000,0.000,26.740,1.000,0.000,2,515.316,-0.490,0.000,0.000,0.355616,37.245,515.316,-0.490,0.000,0.000,0.355616,37.245,24.000,515.052,3.196,35
3,65,517,3.875,0,488.432,0.000,0.000,28.568,1.000,0.000,2,515.795,1.684,0.000,0.000,0.284325,33.535,515.795,1.684,0.000,0.000,0.284325,33.535,24.000,515.951,3.196,35
4,85,523,3.672,0,488.432,0.000,0.000,34.568,1.000,0.000,2,517.566,7.205,0.000,0.000,0.245848,31.824,517.566,7.205,0.000,0.000,0.245848,31.824,24.000,519.028,3.196,35
5,107,528,3.742,0,488.432,0.000,0.000,39.568,1.000,0.000,2,522.476,6.987,0.000,0.000,0.209471,30.359,522.476,6.987,0.000,0.000,0.209471,30.359,24.000,525.248,6.505,35
7,145,527,3.789,0,488.432,0.000,0.000,38.568,1.000,0.000,2,522.474,5.623,0.000,0.000,0.195103,29.817,522.474,5.623,0.000,0.000,0.195103,29.817,24.000,524.280,2.735,35
8,165,523,3.703,0,488.432,0.000,0.000,34.568,1.000,0.000,2,522.575,0.526,0.000,0.000,0.191442,29.682,522.575,0.526,0.000,0.000,0.191442,29.682,24.000,523.771,3.534,35
9,185,514,3.711,0,488.432,0.000,0.000,25.568,1.000,0.000,2,520.954,-8.575,0.000,0.000,0.189041,29.595,520.954,-8.575,0.000,0.000,0.189041,29.595,24.000,519.930,3.714,35
10,205,526,3.734,0,488.432,0.000,0.000,37.568,1.000,0.000,2,521.900,5.046,0.000,0.000,0.187460,29.537,521.900,5.046,0.000,0.000,0.187460,29.537,24.000,522.421,3.534,35
11,225,519,3.695,0,492.891,0.000,0.000,26.109,1.000,0.000,2,521.359,-2.900,0.000,0.000,0.186414,29.499,521.359,-2.900,0.000,0.000,0.186414,29.499,24.000,521.140,4.093,35
12,245,528,3.727,0,492.891,0.000,0.000,35.109,1.000,0.000,2,522.593,6.641,0.000,0.000,0.185721,29.474,522.593,6.641,0.000,0.000,0.185721,29.474,24.000,524.173,3.196,35
13,265,528,3.805,0,492.891,0.000,0.000,35.109,1.000,0.000,2,523.594,5.407,0.000,0.000,0.185262,29.457,523.594,5.407,0.000,0.000,0.185262,29.457,24.000,525.592,4.093,35
14,285,524,3.664,0,492.891,0.000,0.000,31.109,1.000,0.000,2,523.669,0.406,0.000,0.000,0.184956,29.446,523.669,0.406,0.000,0.000,0.184956,29.446,24.000,524.949,3.714,35
15,307,516,3.688,0,492.891,0.000,0.000,23.109,1.000,0.000,2,520.797,-5.883,0.000,0.000,0.184619,29.434,520.797,-5.883,0.000,0.000,0.184619,29.434,24.000,518.823,4.093,35
16,327,519,3.758,0,488.432,0.000,0.000,30.568,1.000,0.000,2,520.465,-1.797,0.000,0.000,0.184529,29.431,520.465,-1.797,0.000,0.000,0.184529,29.431,24.000,518.904,3.037,35
17,347,518,3.656,0,488.432,0.000,0.000,29.568,1.000,0.000,2,520.010,-2.465,0.000,0.000,0.184470,29.429,520.010,-2.465,0.000,0.000,0.184470,29.429,24.000,518.517,3.196,35
18,365,519,3.711,0,488.603,0.000,0.000,30.397,1.000,0.000,2,519.824,-1.010,35.597,0.785,0.184430,29.427,519.859,-1.010,35.597,0.785,0.149873,36.212,30.785,518.729,3.037,35
19,385,524,3.695,0,488.603,0.000,0.000,35.397,1.000,0.000,2,520.594,4.176,35.945,1.044,0.184404,29.426,520.487,4.141,35.934,1.042,0.151645,37.020,31.406,519.117,29.294,35
20,405,522,3.711,0,488.603,0.000,0.000,33.397,1.000,0.000,2,520.853,1.406,35.825,1.138,0.184386,29.426,520.722,1.513,35.818,1.142,0.155232,37.122,31.360,519.430,25.969,35
21,425,517,3.805,0,488.603,0.000,0.000,28.397,1.000,0.000,2,520.143,-3.853,36.980,0.861,0.184374,29.425,520.142,-3.722,36.913,0.872,0.155762,37.673,31.805,519.178,33.030,35
22,445,519,3.680,0,488.603,0.000,0.000,30.397,1.000,0.000,2,519.932,-1.143,34.994,0.444,0.184367,29.425,519.949,-1.142,34.936,0.454,0.169426,35.142,29.188,519.155,29.294,35
23,465,524,3.734,0,488.603,0.000,0.000,35.397,1.000,0.000,2,520.682,4.068,24.093,-0.124,0.184361,29.425,520.950,4.051,24.039,-0.115,0.247178,24.053,18.107,519.842,29.294,35
24,485,516,3.719,0,488.603,0.000,0.000,27.397,1.000,0.000,2,519.819,-4.682,22.262,-0.708,0.184358,29.425,519.763,-4.950,22.330,-0.712,0.239779,22.836,17.361,518.988,18.026,35
25,505,522,3.633,0,488.603,0.000,0.000,33.397,1.000,0.000,2,520.221,2.181,21.396,-0.325,0.184356,29.425,520.298,2.237,21.481,-0.326,0.239158,21.587,16.424,519.708,15.938,35
26,527,524,3.695,0,488.432,0.000,0.000,35.568,1.000,0.000,2,520.884,3.820,20.434,-0.452,0.184353,29.425,521.084,3.775,20.498,-0.460,0.227644,20.710,15.995,520.816,14.674,35
27,547,518,3.719,0,488.432,0.000,0.000,29.568,1.000,0.000,2,520.353,-2.884,17.350,-0.168,0.184353,29.424,520.267,-3.084,17.475,-0.185,0.265078,17.509,12.868,520.258,18.778,35
28,565,522,3.766,0,492.719,0.000,0.000,29.281,1.000,0.000,2,520.656,1.647,16.127,-0.338,0.184352,29.424,520.733,1.733,16.263,-0.351,0.269191,16.386,11.975,520.656,15.938,35
29,585,522,3.758,0,492.719,0.000,0.000,29.281,1.000,0.000,2,520.904,1.344,15.895,-0.126,0.184352,29.424,521.067,1.267,16.025,-0.142,0.263220,16.046,11.822,520.959,15.938,35
30,605,520,3.711,0,492.719,0.000,0.000,27.281,1.000,0.000,2,520.737,-0.904,13.493,-0.503,0.184352,29.424,520.751,-1.067,13.619,-0.528,0.295867,13.898,9.786,520.745,15.938,35
