col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27
1843,36865,519,3.828,0,486.374,0.000,0.000,32.626,1.000,0.000,4,522.863,-4.737,27.913,-0.724,0.184351,29.424,522.789,-4.586,28.011,-0.638,0.173850,28.417,23.477,523.134,25.969,35
1844,36885,521,3.742,0,486.374,0.000,0.000,34.626,1.000,0.000,4,522.520,-1.863,27.235,-0.590,0.184351,29.424,522.459,-1.789,27.284,-0.498,0.184560,27.533,22.451,522.784,25.969,35
1845,36905,524,3.758,0,486.374,0.000,0.000,37.626,1.000,0.000,4,522.793,1.480,27.406,-0.531,0.184351,29.424,522.745,1.541,27.452,-0.440,0.186060,27.645,22.501,522.996,24.943,35
1846,36927,528,3.711,0,486.546,0.000,0.000,41.454,1.000,0.000,4,522.581,6.644,29.657,-0.017,0.184351,29.424,522.539,6.639,29.634,0.072,0.177447,29.639,24.380,522.627,29.294,35
1847,36947,524,3.719,0,486.546,0.000,0.000,37.454,1.000,0.000,4,522.843,1.419,29.730,0.086,0.184351,29.424,522.801,1.461,29.708,0.167,0.179113,29.736,24.410,522.854,28.142,35
1848,36967,512,3.734,0,486.374,0.000,0.000,25.626,1.000,0.000,4,520.844,-10.843,34.152,-0.680,0.184351,29.424,521.118,-10.801,34.121,-0.606,0.155769,34.488,29.116,521.037,28.142,35
1849,36985,523,3.734,0,486.374,0.000,0.000,36.626,1.000,0.000,4,521.241,2.156,32.104,-0.204,0.184351,29.424,521.444,1.882,31.987,-0.147,0.172935,32.008,26.473,521.327,33.030,35
1850,37005,519,3.852,0,486.374,0.000,0.000,32.626,1.000,0.000,4,520.828,-2.241,32.296,-0.317,0.184351,29.424,521.022,-2.444,32.233,-0.272,0.172661,32.307,26.729,520.898,25.969,35
1851,37025,522,3.773,0,486.202,0.000,0.000,35.798,1.000,0.000,4,521.044,1.172,32.399,-0.258,0.184351,29.424,521.192,0.978,32.304,-0.226,0.173546,32.354,26.739,521.099,25.969,35
1852,37045,523,3.773,0,486.202,0.000,0.000,36.798,1.000,0.000,4,521.405,1.956,27.545,0.339,0.184351,29.424,521.562,1.808,27.419,0.363,0.204728,27.551,21.911,521.442,25.969,35
1853,37065,514,3.664,0,486.374,0.000,0.000,27.626,1.000,0.000,4,520.040,-7.405,30.216,-0.123,0.184351,29.424,520.188,-7.562,30.179,-0.119,0.181687,30.193,24.708,520.190,28.142,35
1854,37085,519,3.875,0,486.374,0.000,0.000,32.626,1.000,0.000,4,519.848,-1.040,29.972,-0.050,0.184351,29.424,519.970,-1.188,29.982,-0.060,0.183055,29.986,24.497,519.988,28.142,35
1855,37105,525,3.844,0,486.374,0.000,0.000,38.626,1.000,0.000,4,520.798,5.152,29.222,0.509,0.184351,29.424,520.904,5.030,29.312,0.483,0.185623,29.545,24.061,520.840,28.142,35
1856,37127,517,3.672,0,486.374,0.000,0.000,30.626,1.000,0.000,4,521.030,-4.941,31.920,0.342,0.184351,29.424,521.127,-4.984,31.882,0.295,0.171963,31.969,26.472,521.151,29.294,35
1857,37147,526,3.852,0,486.374,0.000,0.000,39.626,1.000,0.000,4,521.946,4.970,31.955,0.779,0.184351,29.424,521.962,4.873,31.885,0.731,0.171264,32.419,26.866,522.035,25.969,35
1858,37167,520,3.680,0,486.202,0.000,0.000,33.798,1.000,0.000,4,521.588,-1.946,29.528,0.286,0.184351,29.424,521.588,-1.962,29.334,0.231,0.190598,29.388,23.787,521.667,25.969,35
1859,37185,518,3.828,0,486.202,0.000,0.000,31.798,1.000,0.000,4,520.926,-3.588,26.570,-0.317,0.184351,29.424,520.838,-3.588,26.334,-0.370,0.209043,26.471,20.938,521.049,28.142,35
1861,37225,516,3.664,0,486.202,0.000,0.000,29.798,1.000,0.000,4,520.781,-5.862,24.270,-0.565,0.184351,29.424,520.742,-6.004,24.165,-0.630,0.210197,24.561,19.398,521.060,18.778,35
1862,37245,527,3.750,0,486.202,0.000,0.000,40.798,1.000,0.000,4,521.927,6.219,26.323,-0.161,0.184351,29.424,521.947,6.258,26.308,-0.227,0.192625,26.359,21.282,522.576,14.674,35
1863,37265,525,3.656,0,486.374,0.000,0.000,38.626,1.000,0.000,4,522.494,3.073,26.705,-0.081,0.184351,29.424,522.530,3.053,26.684,-0.152,0.190943,26.707,21.607,523.132,15.938,35
1864,37285,525,3.773,0,486.374,0.000,0.000,38.626,1.000,0.000,4,522.956,2.506,23.801,0.434,0.184351,29.424,523.057,2.470,23.883,0.359,0.213465,24.012,18.886,523.416,25.969,35
1865,37305,533,3.836,0,486.374,0.000,0.000,46.626,1.000,0.000,4,524.807,10.044,26.462,0.604,0.184351,29.424,524.927,9.943,26.476,0.524,0.188089,26.751,21.719,525.686,15.938,35
1866,37325,529,3.773,0,486.374,0.000,0.000,42.626,1.000,0.000,4,525.580,4.193,27.053,0.743,0.184351,29.424,525.681,4.073,27.045,0.655,0.185094,27.474,22.388,526.380,18.026,35
1867,37347,539,3.766,0,486.374,0.000,0.000,52.626,1.000,0.000,4,528.268,13.158,26.619,1.906,0.184351,29.424,528.128,13.007,26.708,1.817,0.164154,30.009,25.083,529.124,18.778,35
1868,37367,523,3.727,0,486.374,0.000,0.000,36.626,1.000,0.000,4,527.297,-5.268,28.309,1.754,0.184351,29.424,527.283,-5.128,28.195,1.683,0.164943,31.026,25.908,528.173,27.035,35
1869,37387,518,3.695,0,486.374,0.000,0.000,31.626,1.000,0.000,4,525.583,-9.297,34.125,1.231,0.184351,29.424,525.895,-9.283,33.918,1.170,0.149446,35.286,30.013,526.882,35.773,35
