timestamp_ms,tof_distance_mm,tof_signal_rate,tof_range_status,us_distance_mm,encoder_distance_mm,encoder_speed_mms,kf_estimate_mm,tof_residual,tof_residual_var,tof_residual_mean,sensor_disagree,tof_meas_rate,gt_distance_mm,R_label,kalman_gain,innovation_cov,scenario_id
0,81.0926,0.9654,0,178.1636,99.6273,200.0,97.5361,-16.4435,8.6965,-0.2757,18.5347,0.9828,100.0,400.0,0.052193,416.0799,E1
20,119.2518,0.6315,0,63.3691,101.2308,200.0,100.7955,18.4563,8.3071,-2.4811,18.021,0.9584,102.0,400.0,0.0525,407.1697,E1
40,113.3099,1.0046,0,116.4613,103.2306,200.0,103.6648,9.6451,6.1024,0.2148,10.0793,0.9721,104.0,400.0,0.043841,408.9249,E1
60,80.0955,1.0571,0,133.156,105.7354,200.0,104.8358,-24.7403,10.1793,1.21,25.6399,0.9032,106.0,400.0,0.046984,405.2094,E1
80,117.144,0.6693,0,145.4125,107.9229,200.0,111.2738,5.8702,6.0478,0.3517,9.2211,0.9873,108.0,400.0,0.050778,410.515,E1
100,65.5439,0.5925,0,90.807,109.9841,200.0,108.6426,-43.0987,13.3351,-1.04,44.4401,0.9314,110.0,400.0,0.05004,412.2042,E1
120,132.4718,0.879,0,64.5267,112.9767,200.0,110.0519,22.4199,9.0492,-0.4786,19.4951,0.9192,112.0,400.0,0.04944,413.9115,E1
140,88.2738,0.5679,0,109.0389,114.014,200.0,118.8552,-30.5814,10.1442,0.6612,25.7402,0.9705,114.0,400.0,0.054306,412.1124,E1
160,108.4257,0.909,0,131.1292,116.4226,200.0,122.1905,-13.7648,5.5043,-2.0374,7.997,0.9818,116.0,400.0,0.04885,406.3959,E1
180,156.4134,0.9427,0,99.5458,118.867,200.0,116.068,40.3454,12.3957,0.8887,37.5464,0.9256,118.0,400.0,0.050594,408.9646,E1
200,106.6777,0.8541,0,104.6207,120.044,200.0,111.4223,-4.7446,7.2999,-0.637,13.3663,0.967,120.0,400.0,0.048639,407.2094,E1
220,114.266,0.9456,0,163.554,121.3008,200.0,120.9502,-6.6842,5.562,1.0136,7.0348,0.9005,122.0,400.0,0.049669,414.8852,E1
240,80.2708,0.4795,0,100.353,123.6421,200.0,116.5916,-36.3208,13.2256,0.8577,43.3713,0.9646,124.0,400.0,0.050645,416.4553,E1
260,122.0426,0.9508,0,187.1505,126.1813,200.0,125.1005,-3.0579,3.9786,-0.8568,4.1386,0.9175,126.0,400.0,0.047888,404.4704,E1
280,137.1849,1.1429,0,149.1562,127.7904,200.0,139.3934,-2.2086,6.0613,2.2179,9.3945,0.9877,128.0,400.0,0.047134,401.7136,E1
300,119.2418,0.5561,0,167.4714,130.6467,200.0,130.2865,-11.0447,6.5599,-0.0857,11.4048,0.9494,130.0,400.0,0.052564,421.15,E1
320,168.1581,0.713,0,143.6155,131.6326,200.0,129.5629,38.5952,12.0263,-0.0293,36.5255,0.9737,132.0,400.0,0.049905,410.6532,E1
340,146.8253,1.0705,0,178.8415,134.1641,200.0,129.2387,17.5866,7.1625,-1.129,12.6612,0.9515,134.0,400.0,0.047759,410.1421,E1
360,161.4411,0.5347,0,156.2733,136.3856,200.0,136.8335,24.6077,10.0878,0.1521,25.0556,0.9954,136.0,400.0,0.048326,412.5247,E1
380,171.3451,0.9235,0,151.917,137.7432,200.0,143.7665,27.5786,11.549,0.1909,33.6019,0.9307,138.0,400.0,0.049209,417.2627,E1
400,120.4182,1.1245,0,153.9069,140.3308,200.0,144.685,-24.2668,8.8503,-0.3856,19.9127,0.9219,140.0,400.0,0.048626,405.2257,E1
420,168.5209,0.6743,0,109.76,142.1926,200.0,143.6307,24.8903,10.2997,-0.3435,26.3283,0.9538,142.0,400.0,0.046272,409.9029,E1
440,136.784,0.7021,0,135.13,143.6989,200.0,144.1015,-7.3174,5.3725,-0.1155,6.9148,0.9564,144.0,400.0,0.049578,418.3818,E1
460,138.2721,0.4349,0,128.8591,146.583,200.0,147.8111,-9.5389,5.5598,1.0691,8.3108,0.9116,146.0,400.0,0.04891,403.4836,E1
480,155.3174,0.7619,0,117.2416,148.6356,200.0,151.8199,3.4975,5.4101,-0.3323,6.6817,0.9462,148.0,400.0,0.049792,413.2316,E1
500,151.8494,0.9712,0,141.9498,150.2805,200.0,144.2941,7.5553,2.7198,-0.1438,1.5688,0.9345,150.0,400.0,0.05124,402.6917,E1
520,211.0293,0.668,0,148.9204,152.625,200.0,153.3174,57.7118,15.3661,0.2026,58.4043,0.9978,152.0,400.0,0.049465,409.2445,E1
540,120.1631,1.0827,0,178.2633,153.6822,200.0,150.8508,-30.6877,11.6339,-0.5366,33.5191,0.9683,154.0,400.0,0.048912,414.9045,E1
560,142.8956,0.776,0,189.545,155.4707,200.0,153.9986,-11.1031,7.24,-0.0984,12.5751,0.9003,156.0,400.0,0.050079,406.2009,E1
580,143.9409,0.7787,0,168.0631,158.4166,200.0,158.4554,-14.5145,7.4991,-0.6754,14.4757,0.9346,158.0,400.0,0.046776,407.101,E1
