timestamp_ms,tof_distance_mm,tof_signal_rate,tof_range_status,us_distance_mm,encoder_distance_mm,encoder_speed_mms,kf_estimate_mm,tof_residual,tof_residual_var,tof_residual_mean,sensor_disagree,tof_meas_rate,gt_distance_mm,R_label,kalman_gain,innovation_cov,scenario_id
0,97.1182,0.9628,0,71.8585,99.9135,200.0,97.1182,0.0,3.3952,-1.8907,2.7954,0.9087,100.0,,0.050404,409.4434,E1
20,97.6608,0.3239,0,115.7325,102.0579,200.0,97.6608,0.0,4.1661,1.3746,4.3971,0.9545,102.0,,0.051327,411.1615,E1
40,108.9268,1.0252,0,95.2414,104.6555,200.0,108.9268,0.0,4.4393,-0.864,4.2713,0.9155,104.0,,0.048787,410.2083,E1
60,123.4681,1.0627,0,62.7285,105.8797,200.0,123.4681,0.0,8.359,-1.1004,17.5884,0.973,106.0,,0.049496,411.883,E1
80,55.6011,1.0465,0,64.1209,107.6966,200.0,55.6011,0.0,14.4774,-1.3481,52.0955,0.9577,108.0,,0.050752,405.4209,E1
100,108.2751,0.3718,0,111.494,109.8531,200.0,108.2751,0.0,2.6267,0.4588,1.5779,0.9278,110.0,,0.050637,410.5721,E1
120,99.4603,0.5403,0,151.9656,111.6413,200.0,99.4603,0.0,7.0823,-0.5601,12.181,0.9609,112.0,,0.049999,407.6502,E1
140,129.3695,1.1906,0,89.5996,114.7109,200.0,129.3695,0.0,7.8408,-0.9832,14.6585,0.9685,114.0,,0.050672,412.5285,E1
160,135.0579,0.5839,0,113.7026,115.2782,200.0,135.0579,0.0,8.7311,0.6842,19.7798,0.9943,116.0,,0.049506,410.1677,E1
180,130.3994,1.1231,0,95.2472,117.6953,200.0,130.3994,0.0,7.0425,0.2006,12.7041,0.9247,118.0,,0.047337,407.191,E1
200,105.5307,0.6595,0,139.9197,119.8532,200.0,105.5307,0.0,7.6077,3.4018,14.3224,0.951,120.0,,0.046835,400.7936,E1
220,127.2273,1.0129,0,112.4049,122.084,200.0,127.2273,0.0,4.5727,0.1702,5.1433,0.9382,122.0,,0.050787,415.4237,E1
240,148.5388,0.3103,0,115.6963,123.985,200.0,148.5388,0.0,9.9073,-1.4876,24.5538,0.9537,124.0,,0.048282,419.7655,E1
260,122.9794,0.7084,0,184.7186,126.7117,200.0,122.9794,0.0,3.476,-0.5845,3.7323,0.9263,126.0,,0.050378,414.0819,E1
280,115.4523,0.5686,0,101.5861,127.9988,200.0,115.4523,0.0,7.0845,-1.0501,12.5465,0.9153,128.0,,0.04689,418.6244,E1
300,131.9555,0.3005,0,127.3268,129.3794,200.0,131.9555,0.0,2.7968,0.1772,2.5762,0.9929,130.0,,0.046581,411.0997,E1
320,159.3138,1.0902,0,143.997,131.3484,200.0,159.3138,0.0,10.4525,-0.1385,27.9654,0.9486,132.0,,0.049646,409.3893,E1
340,164.6709,0.7278,0,111.5991,134.3562,200.0,164.6709,0.0,11.0763,-0.2416,30.3147,0.9872,134.0,,0.047957,410.2604,E1
360,123.7795,0.481,0,98.9673,136.1602,200.0,123.7795,0.0,6.9916,3.0222,12.3807,0.965,136.0,,0.048209,402.155,E1
380,115.6551,0.6043,0,119.5588,138.2289,200.0,115.6551,0.0,9.4541,-0.381,22.5738,0.922,138.0,,0.049983,412.5849,E1
400,165.4815,1.0737,0,159.9632,140.3046,200.0,165.4815,0.0,10.0958,0.3175,25.1768,0.9669,140.0,,0.053306,411.4326,E1
420,144.3742,0.7254,0,153.7527,142.2597,200.0,144.3742,0.0,3.0817,-1.7725,2.1146,0.919,142.0,,0.047974,415.9787,E1
440,161.4217,0.9562,0,103.9942,144.3038,200.0,161.4217,0.0,8.3479,-2.552,17.1179,0.9098,144.0,,0.050036,405.025,E1
460,131.0943,0.4712,0,116.2165,146.2615,200.0,131.0943,0.0,7.7216,0.3322,15.1671,0.9279,146.0,,0.047845,412.4405,E1
480,148.0551,0.7953,0,256.4371,149.133,200.0,148.0551,0.0,0.4695,1.1892,1.0779,0.9836,148.0,,0.050391,400.6885,E1
500,194.8189,0.7371,0,156.8591,149.7789,200.0,194.8189,0.0,13.3894,0.9863,45.0399,0.9059,150.0,,0.048018,411.7526,E1
520,109.8994,0.7095,0,85.299,153.0012,200.0,109.8994,0.0,12.977,1.1682,43.1018,0.9995,152.0,,0.052486,409.165,E1
540,124.094,1.1718,0,121.0446,153.7267,200.0,124.094,0.0,10.9373,-0.5966,29.6327,0.9748,154.0,,0.050387,412.3624,E1
560,180.8045,0.4417,0,167.8895,156.2328,200.0,180.8045,0.0,9.9608,-0.0997,24.5716,0.9186,156.0,,0.04893,400.2153,E1
580,133.1959,1.1013,0,158.9584,157.5784,200.0,133.1959,0.0,9.9607,1.3433,24.3825,0.9619,158.0,,0.050006,410.2346,E1
600,136.8605,0.4838,0,155.3289,160.3217,200.0,136.8605,0.0,9.6207,-0.7219,23.4612,0.9396,160.0,,0.048333,398.4386,E1
620,154.0199,0.3653,0,57.7498,161.6278,200.0,154.0199,0.0,5.6498,0.9322,7.6079,0.9996,162.0,,0.052055,406.628,E1
640,176.407,1.0928,0,184.9147,164.1538,200.0,176.407,0.0,7.0447,-0.6607,12.2532,0.9158,164.0,,0.053632,408.8906,E1
660,181.6637,0.8886,0,221.2316,165.3258,200.0,181.6637,0.0,7.9155,0.0906,16.3379,0.9299,166.0,,0.045187,398.7222,E1
680,143.5152,0.3963,0,145.4029,166.9885,200.0,143.5152,0.0,9.8964,-0.2617,23.4732,0.9605,168.0,,0.04974,411.6459,E1
700,167.2727,0.7397,0,218.0727,169.6696,200.0,167.2727,0.0,3.3029,-1.0841,2.3969,0.9092,170.0,,0.04783,407.3971,E1
720,157.7232,0.8734,0,168.2981,172.1859,200.0,157.7232,0.0,7.5569,1.6396,14.4627,0.9552,172.0,,0.049077,418.5844,E1
740,171.4948,1.1135,0,119.4081,174.0306,200.0,171.4948,0.0,3.1656,-0.536,2.5358,0.9583,174.0,,0.050887,419.2234,E1
760,182.2392,1.0165,0,217.1594,176.2094,200.0,182.2392,0.0,4.9957,-1.6436,6.0298,0.921,176.0,,0.052999,406.168,E1
780,178.0275,0.6657,0,165.3772,178.2329,200.0,178.0275,0.0,0.3318,-0.3984,0.2054,0.993,178.0,,0.044922,411.9527,E1
800,216.0634,0.3223,0,177.727,178.9722,200.0,216.0634,0.0,12.0106,-0.8954,37.0911,0.9931,180.0,,0.045167,413.8474,E1
820,194.8794,1.0086,0,229.346,181.0544,200.0,194.8794,0.0,7.1776,1.2741,13.825,0.9859,182.0,,0.047538,411.4673,E1
840,190.3481,1.0158,0,184.9212,184.9071,200.0,190.3481,0.0,5.0391,0.2167,5.441,0.9193,184.0,,0.049421,405.8652,E1
860,167.1246,0.8773,0,117.7005,186.881,200.0,167.1246,0.0,8.6892,1.6611,19.7564,0.9536,186.0,,0.048666,413.9581,E1
880,197.1888,1.1663,0,186.6056,187.9078,200.0,197.1888,0.0,6.0626,0.4768,9.281,0.9435,188.0,,0.048768,413.082,E1
900,187.6678,0.6467,0,169.6082,189.5701,200.0,187.6678,0.0,3.0543,-0.3549,1.9023,0.9709,190.0,,0.047519,405.2994,E1
920,237.5866,0.9678,0,178.3438,192.0121,200.0,237.5866,0.0,13.5036,-0.8358,45.5745,0.907,192.0,,0.048237,402.2599,E1
940,184.8114,0.9478,0,185.9752,193.6158,200.0,184.8114,0.0,6.0625,0.8176,8.8043,0.9408,194.0,,0.052573,406.2062,E1
960,182.3062,1.1463,0,167.4362,196.2409,200.0,182.3062,0.0,7.401,-1.9379,13.9347,0.9616,196.0,,0.050498,413.6394,E1
980,190.0692,0.6869,0,159.6597,198.598,200.0,190.0692,0.0,5.6323,-0.7024,8.5288,0.9465,198.0,,0.049004,414.1119,E1
1000,187.0373,1.0164,0,206.1056,200.1232,200.0,187.0373,0.0,7.2007,0.3685,13.0859,0.9515,200.0,,0.049722,399.3948,E1
1020,189.8743,0.9055,0,205.1721,201.665,200.0,189.8743,0.0,6.9644,0.658,11.7907,0.9024,202.0,,0.045968,413.4758,E1
1040,204.7358,0.673,0,190.4743,204.5674,200.0,204.7358,0.0,1.7155,-0.4787,0.1683,0.9696,204.0,,0.04837,411.1403,E1
1060,191.0509,0.9759,0,207.7893,206.0132,200.0,191.0509,0.0,7.7328,-0.471,14.9623,0.9425,206.0,,0.048825,409.7065,E1
1080,230.6095,0.5243,0,227.1902,209.1248,200.0,230.6095,0.0,9.5099,-0.9001,21.4847,0.9801,208.0,,0.048928,408.4052,E1
1100,180.5834,1.1023,0,173.6677,208.7092,200.0,180.5834,0.0,10.8474,-1.0364,28.1258,0.9505,210.0,,0.046236,399.8958,E1
1120,224.219,0.7272,0,210.6949,211.449,200.0,224.219,0.0,6.9911,0.7524,12.77,0.9638,212.0,,0.047014,416.5883,E1
1140,216.4081,0.3697,0,208.682,213.3961,200.0,216.4081,0.0,3.1036,0.7763,3.0121,0.932,214.0,,0.047854,407.1983,E1
1160,205.4301,0.9358,0,244.2329,215.9319,200.0,205.4301,0.0,6.5023,0.4018,10.5018,0.9543,216.0,,0.052056,410.9038,E1
1180,206.2471,0.8257,0,198.1502,218.1718,200.0,206.2471,0.0,6.8565,-1.857,11.9247,0.9766,218.0,,0.051086,400.492,E1
1200,218.4109,1.0681,0,249.9357,220.0371,200.0,218.4109,0.0,2.5212,-0.3006,1.6262,0.9748,220.0,,0.051686,405.0072,E1
1220,195.9395,0.6923,0,248.7048,221.8057,200.0,195.9395,0.0,10.2099,0.1642,25.8662,0.9679,222.0,,0.050384,410.6478,E1
1240,214.0937,0.86,0,253.5973,224.1699,200.0,214.0937,0.0,6.2948,0.1688,10.0761,0.9564,224.0,,0.049213,407.4418,E1
1260,254.2808,0.3453,0,210.9974,226.1216,200.0,254.2808,0.0,10.6359,0.4749,28.1593,0.9327,226.0,,0.050676,413.6617,E1
1280,229.3766,0.527,0,233.1669,227.513,200.0,229.3766,0.0,2.3466,0.0974,1.8636,0.9539,228.0,,0.045223,410.1192,E1
1300,248.5628,0.8866,0,231.9504,229.9997,200.0,248.5628,0.0,8.6169,-2.4437,18.5631,0.9199,230.0,,0.046177,404.8826,E1
1320,243.4063,0.8076,0,241.3003,232.0367,200.0,243.4063,0.0,6.7546,1.5193,11.3696,0.9767,232.0,,0.05112,415.2202,E1
1340,247.5043,1.0374,0,247.9988,234.5944,200.0,247.5043,0.0,7.3497,-0.1052,12.9099,0.9026,234.0,,0.048014,409.9679,E1
1360,224.5829,0.9435,0,276.8132,236.6958,200.0,224.5829,0.0,6.7579,0.7039,12.1129,0.9627,236.0,,0.048478,414.8537,E1
1380,265.599,0.4089,0,290.1432,238.514,200.0,265.599,0.0,10.5069,-0.177,27.085,0.9347,238.0,,0.046811,413.9908,E1
1400,222.6714,1.0646,0,246.22,240.2093,200.0,222.6714,0.0,8.3255,-0.4244,17.5379,0.9961,240.0,,0.048932,405.4349,E1
1420,217.2583,0.9604,0,265.2471,241.2932,200.0,217.2583,0.0,9.9482,-0.1708,24.0349,0.9808,242.0,,0.046938,408.5829,E1
1440,221.6681,0.5416,0,277.7265,243.8635,200.0,221.6681,0.0,9.4513,-1.5128,22.1954,0.9087,244.0,,0.050276,402.552,E1
1460,257.0054,0.6411,0,303.5854,245.7469,200.0,257.0054,0.0,6.6349,0.3499,11.2586,0.9182,246.0,,0.049604,403.3035,E1
1480,256.4315,0.9311,0,247.2959,248.8688,200.0,256.4315,0.0,5.8074,0.1409,7.5627,0.9948,248.0,,0.052475,404.461,E1
1500,277.4081,0.9215,0,228.7933,250.4088,200.0,277.4081,0.0,10.4705,-0.9221,26.9993,0.9793,250.0,,0.049242,401.597,E1
1520,263.8051,0.8234,0,215.6067,252.1953,200.0,263.8051,0.0,6.8717,0.2058,11.6097,0.9426,252.0,,0.047403,408.4709,E1
1540,253.5423,0.5263,0,268.2488,253.552,200.0,253.5423,0.0,1.3531,0.4497,0.0097,0.912,254.0,,0.047479,408.8397,E1
1560,222.9597,0.7358,0,242.9268,255.8107,200.0,222.9597,0.0,11.4961,-2.7057,32.8509,0.9525,256.0,,0.050282,411.3837,E1
1580,256.1048,0.4615,0,294.9339,258.2252,200.0,256.1048,0.0,2.7533,0.1097,2.1204,0.9274,258.0,,0.050349,411.2356,E1
1600,285.0624,1.0816,0,199.1865,259.8979,200.0,285.0624,0.0,10.0125,0.1163,25.1645,0.9574,260.0,,0.048017,409.1572,E1
1620,240.8444,1.147,0,206.7962,262.103,200.0,240.8444,0.0,9.199,0.2592,21.2586,0.9401,262.0,,0.049595,410.6509,E1
1640,289.1834,0.8066,0,232.1976,264.3162,200.0,289.1834,0.0,10.0366,3.0135,24.8672,0.9118,264.0,,0.049376,412.6826,E1
1660,268.4749,0.7703,0,235.1142,265.3201,200.0,268.4749,0.0,3.1464,0.3308,3.1548,0.986,266.0,,0.047616,410.9055,E1
1680,285.0403,0.9661,0,287.3758,267.9733,200.0,285.0403,0.0,8.256,-0.2207,17.067,0.9211,268.0,,0.047109,405.0311,E1
1700,263.7621,0.3024,0,231.6616,269.7528,200.0,263.7621,0.0,4.9952,0.4108,5.9907,0.9291,270.0,,0.049701,410.9098,E1
1720,275.6389,0.9186,0,318.9036,272.7781,200.0,275.6389,0.0,3.8152,-0.8101,2.8608,0.9625,272.0,,0.046895,408.3986,E1
1740,249.3298,0.8829,0,321.1167,273.012,200.0,249.3298,0.0,9.9338,-1.0188,23.6822,0.9071,274.0,,0.050137,404.4101,E1
1760,284.6438,0.5597,0,308.5387,276.3703,200.0,284.6438,0.0,5.8801,1.0758,8.2735,0.97,276.0,,0.046404,409.9575,E1
1780,300.0522,0.3359,0,253.9129,277.7924,200.0,300.0522,0.0,9.392,0.3654,22.2599,0.925,278.0,,0.049032,407.9538,E1
1800,322.9405,1.1557,0,324.8115,280.6939,200.0,322.9405,0.0,13.1058,-0.004,42.2466,0.927,280.0,,0.046755,413.3644,E1
1820,314.5378,1.1245,0,298.6107,282.2101,200.0,314.5378,0.0,11.4084,1.2058,32.3277,0.9635,282.0,,0.049535,402.8644,E1
1840,275.263,0.9031,0,300.8116,284.0114,200.0,275.263,0.0,5.9117,-0.6974,8.7483,0.9694,284.0,,0.05047,407.4005,E1
1860,274.5369,0.7093,0,275.5447,287.1704,200.0,274.5369,0.0,6.7714,0.8121,12.6335,0.997,286.0,,0.046671,412.4574,E1
1880,268.1822,0.7883,0,271.4649,288.3405,200.0,268.1822,0.0,8.9034,0.3342,20.1583,0.9362,288.0,,0.048782,417.3006,E1
1900,291.1343,0.7943,0,318.9428,289.2999,200.0,291.1343,0.0,2.1301,-0.4713,1.8344,0.9698,290.0,,0.047653,410.2116,E1
