timestamp_ms,tof_distance_mm,tof_signal_rate,tof_range_status,us_distance_mm,encoder_distance_mm,encoder_speed_mms,kf_estimate_mm,tof_residual,tof_residual_var,tof_residual_mean,sensor_disagree,tof_meas_rate,gt_distance_mm,R_label,kalman_gain,innovation_cov,scenario_id
0,61.6452,0.7981,0,112.4062,100.8558,200.0,99.3075,-37.6623,12.3863,-1.1065,39.2106,0.9779,100.0,400.0,0.048859,412.522,E1
20,85.9193,0.766,0,52.2908,101.6455,200.0,96.219,-10.2997,8.0201,-0.0993,15.7262,0.9296,102.0,400.0,0.047578,407.694,E1
40,144.2394,0.8345,0,126.9673,104.3591,200.0,107.5893,36.6501,12.6869,-2.7145,39.8803,0.9987,104.0,400.0,0.050787,408.3581,E1
60,96.2483,0.6289,0,85.1886,106.2434,200.0,105.3133,-9.065,6.2455,-1.5479,9.9951,0.9954,106.0,400.0,0.047011,414.157,E1
80,108.4683,1.0104,0,110.6239,107.909,200.0,110.2741,-1.8059,1.3686,-1.4062,0.5593,0.9501,108.0,400.0,0.049684,411.6053,E1
100,108.8312,0.8544,0,105.5626,109.3294,200.0,112.5224,-3.6912,2.1622,0.8485,0.4982,0.9511,110.0,400.0,0.050228,415.3879,E1
120,122.5326,0.913,0,69.4827,112.8695,200.0,108.8974,13.6352,6.4908,1.4172,9.6631,0.973,112.0,400.0,0.046479,408.8718,E1
140,126.5019,0.708,0,93.9943,114.0984,200.0,113.0916,13.4102,7.0716,-0.5435,12.4035,0.9742,114.0,400.0,0.050101,414.5743,E1
160,115.4082,0.7707,0,179.5806,115.7482,200.0,114.6991,0.7092,1.5385,0.3287,0.34,0.9167,116.0,400.0,0.051549,402.4955,E1
180,86.7375,0.9943,0,171.5022,118.6088,200.0,121.9918,-35.2543,11.1826,0.3327,31.8713,0.9272,118.0,400.0,0.053143,408.7733,E1
200,149.0627,0.7496,0,127.8753,120.3083,200.0,118.8642,30.1985,10.782,-0.8742,28.7543,0.9255,120.0,400.0,0.047184,409.0724,E1
220,114.1871,0.7579,0,179.5335,122.5213,200.0,124.5182,-10.3311,5.5903,0.5446,8.3341,0.9245,122.0,400.0,0.047581,409.3871,E1
240,104.6544,1.1226,0,94.2921,124.0867,200.0,128.3482,-23.6938,8.7967,-0.0611,19.4323,0.9322,124.0,400.0,0.050586,419.3616,E1
260,105.1813,0.6355,0,61.3529,125.3098,200.0,128.5654,-23.3841,9.1255,-0.0276,20.1285,0.9179,126.0,400.0,0.049798,409.7319,E1
